"Texto","Target"
" yeah awful flags bit art many flags people mock ugly ","non-sexist"
" woman's choice man dress ","non-sexist"
" achieving community peace dialogue empowering community structures enhancing sustainable peace way prevent conflicts strenghten cooperation tribes races nations unity diversity justice equality ","non-sexist"
" buddy 8chan beat embarrasses now ","non-sexist"
" bitch wish flawless maybe keep man without spread legs even surgeries still look like hot shit get shovel fool cus bs ","misogyny-non-sexual-violence"
" honest though become units classes post colonial theory feminism psychoanalysis literature fine least honest approach literature affirms one worldview ","non-sexist"
" calling mansplaining intentional way stifling speech vilifying typical passive aggressive behavior women known ","ideological-inequality"
" slag harsh sorry like muppet ","non-sexist"
" wrote mother's day repeat new members subscribers link lt 3 ","non-sexist"
" kanreee rape steve lesher foundation turn tanks behind invisible zinzanni ","non-sexist"
" sound crazy going leave conversation truly believe save us got problems man treat woman property grab pussy force self mentality savior part problem ","sexual-violence"
" tottaly locking 6pm go f'n disabled problem dare say trouble tonight cuz leaving till ready thanks everything fucking low life skank ","non-sexist"
" hey follow accounts really deserve ","non-sexist"
" wait khune just spank woman ","non-sexist"
" yet another sad day republican handful 6 senators voted absurd bill statesman spines hour politicians yes men amp women thank god without ","non-sexist"
" bearded women nko ","non-sexist"
" woman shoots man head women cheering like men thing daily now stupidity pointed like tf ok level ","ideological-inequality"
" two things women stand getting ask getting ask ","stereotyping-dominance"
" length skirt short \ ","objectification"
" men ugly women beautiful really deserve us ","objectification"
" kissing women uncivilized sucks fuck simple ","sexual-violence"
" course think women think alike dr soh think case know mean ","non-sexist"
" going make reading goals year even close oh well least one thing blame 2020 ","non-sexist"
" women control 1 3 5 assets management depending specific class will see gender equality investing ","stereotyping-dominance"
" saying time just thought hated bitch ","non-sexist"
" just seen man say 5 6 kids woman just wanna know gone find 6 women sleep ","sexual-violence"
" pity puritan killjoy 1st minister hope ban establishment's ","non-sexist"
" crowley vs yunlan manspreading challenge ","non-sexist"
" biggest pet peeve since pregnant people trying tell eat unless professional ask u keep advice please pregnancy planned best prepare body mentally physically ","non-sexist"
" ok bro ","non-sexist"
" people ass small lips amp anything black women fat ass get mad fun bc supposed ","objectification"
" let bodies hit floor played life full mediocrity jealous females never will get brain zero cells left shush approach skank ","misogyny-non-sexual-violence"
" sometimes hate neymar football pundit fan like players play victim card ","non-sexist"
" first say environment something meghan ever talked harry's passion sure blame black women ","ideological-inequality"
" even subliminally people clock mask sainsbo's smiled bloke said ‘the self checkout take money ' locking eyes said ‘of course woman take mone said anyway ","ideological-inequality"
" looks like calling sacking individual female journalist basis asks challenging questions maybe concentrate proven bully party ","misogyny-non-sexual-violence"
" every time say hate self proclaimed male feminists dont mean jonghyun men true male feminists ","non-sexist"
" week 8 femism post feminism theory important context american society especially now current political climate theories accommodates women workplace race will continue dividing point ","non-sexist"
" maybe eating way every single day men burn calories women maybe deficit without realising ","non-sexist"
" vvvvv beautiful ","non-sexist"
" assume man's man man men manly part certainly makes plain top think lady's man different person one love women obsessed men's men must obsessed men repressed think ","ideological-inequality"
" understand bullied mean since watched tlj annoying seemed fine sm ppl quick call annoying hate probably cos racist sexist ","non-sexist"
" yes sure women will totally hop bandwagon calling male violence male violence sex based violence globe menstruation ostracism killing female fetuses eh also selling lives matter ","ideological-inequality"
" oh slag tommy robinson will also get blocked bitch taking anymore prisoners anymore talking suspend thank pleasant evening ","non-sexist"
" puritan cleaner coats kids gordon elementary 2020 via ","non-sexist"
" lie beneath weighted blanket imagine pressed death following trial puritan colony found guilty witchcraft weight cry softly sleep follows dreamless ","non-sexist"
" people live lives cock block buzz kill others get ","non-sexist"
" bill sears good man amp honourable gentlemen always gracious defeat humble victory bill told favourite spot hamilton wentworth drumlins westover really liked condolences family rip good sir ","non-sexist"
" dumb blonde always ","stereotyping-dominance"
" put another way one sees man woman fighting knows nothing situation forced place bet closer truth pick woman day call sexist know bet prints money ","non-sexist"
" hear classic rock pop oldies favs like hoku another dumb blonde 1950 thru 2010 hits plus wannabees internet radio ","non-sexist"
" consultation draft equality outcomes now live 22nd december 2020 equality outcomes aim achieve specific identifiable improvements people's quality life eliminate discrimination promote understanding people ","non-sexist"
" ugly crying fuck pretty ","non-sexist"
" stand internet times lizzo saying wants loose weight healthier somehow fat shaming discriminating fat people ","non-sexist"
" trump try something nice send y'all ga cock block wow ","non-sexist"
" hate women like bitch u grab phone gun stfu screaming ","misogyny-non-sexual-violence"
" brand new episode today close get combining 79's scouts middle frigid jungle desperate slog reach enemy position ","non-sexist"
" wussification america ","ideological-inequality"
" tw misgendering lesbian community exist lesbians monolith lesbian responsibility role models turned comments know transphobic radical feminists dangerous ","ideological-inequality"
" evil laughter making festi watch boring ass videos ","non-sexist"
" enough mansplaining thirst traps facebook ","non-sexist"
" mcelroy brothers ass people confirmed ","non-sexist"
" women bad place think way wanna want mind money anything like just want money ","stereotyping-dominance"
" really want understand right now see video man terrorizing woman immediate response take issue wording tweet center feelings man helpful good take just tone policing ","sexual-violence"
" robbing somebody need bad enough fight want gun hunting suck bow arrow works just fine whore look police need guns either bc like taking bitch way instead squaring ","misogyny-non-sexual-violence"
" believe call dumbass like man stereotypical assholes believe one say joke day long fact said kinda puts catagory sexist pig ","stereotyping-dominance"
" might say grinned asses best non penetrating part human—and sometimes non human—body another superpowered spank woman's ass ","sexual-violence"
" cops kill walks life reason yes primarily black folk lgbt folk women killed often goes ignored truth deny ","non-sexist"
" just block cock ","non-sexist"
" accused sexual harassment students written glowing professor reviews new book fights back ","sexual-violence"
" see nothing wrong women bring attention fuck shit men men exact thing nothing either sex says bother apply ","ideological-inequality"
" yes outfit short skirt ","objectification"
" im upset get part hitting infamous shoulder shimmy fucking slapper ","non-sexist"
" look like prostitute ","sexual-violence"
" yep right job recruitment algorithms amplify unconscious bias favouring men new research finds abc news human recruiters ","stereotyping-dominance"
" bitches get money start acting bougie bitch quit faking cause use buy switches lunchtime quit acting like asking 50 cents zhane ","stereotyping-dominance"
" account suspended since june 1 2020 violation account suspended due system misidentification please hurry unsuspend account case number 0181935712 please ignore please run away ","non-sexist"
" wanna gangbanged like lot cocks ","sexual-violence"
" byleth looked gathered house leaders said alright none leaving room fucked issues left 10 minutes later edelgard bouncing claude's dick dimitri's face tits hour later fodlan finally knew peace ","sexual-violence"
" ya momma named eugene exactly wtf imma call ","non-sexist"
" aye bro gold digger just say ","misogyny-non-sexual-violence"
" look feminazi logged must period ","ideological-inequality"
" either support bill feminist allowing trans women compete biological women flies face feminism ","ideological-inequality"
" ahhhhhh just admitted women make easiest things complicated complete rubik's cube order know girl like ","stereotyping-dominance"
" just lovely woman well appreciate spank material provided 14 year old boy ","objectification"
" exactly thought thing watched video white male doctor killed dr susan moore derek chauvin male doctors routinely dismiss women's pain seriousness validity illnesses killing us ","stereotyping-dominance"
" gay dudes co opt term manspreading just utterly ruin ","non-sexist"
" numbers 31 17 moses now therefore kill every male among little ones kill every women hath known man lying ","non-sexist"
" hill gold digger give fuk christmas stuff ","stereotyping-dominance"
" part starts pregnant pregnant ","non-sexist"
" look like prostitute whore nancy ","objectification"
" like making excuses women men bored men abusive relationships whether physically emotionally lot men emotionally abusive relationships apparently cos bored women cos abuse ","ideological-inequality"
" thing just way women touch other's boobs ass playing joking touch like men women completely different expect us behave way ","ideological-inequality"
" watching christmas 2020 yet see working f ken ass lots volunteers staff melania ","non-sexist"
" fashion historian skirt looks short ‘53 ","non-sexist"
" bnp supporters share barnett formula just starters lot people sick tired fed one trick agenda fiscal mismanagement continual blame shifting cockups enough ","non-sexist"
" help dancing put hand grab man everything possible need desire gentleman nothing get pleasurable company woman like wants desires great needs rule supreme ","objectification"
" person waits week 40 abortion literally anyone pregnant think stretched body amp uncomfortable later pregnancy now tell honestly believe someone go extra 6 8months unnecessary pregnancy ","non-sexist"
" agree one blame tools options equities futures etc carpenter knife cut hand vs cutting veggies depends use however improve twitter community posting senseless profits instead process ","non-sexist"
" believe complete equality men specialxmas yamyamgucong ","non-sexist"
" homophobic homophobic like yeah sure sir course homosexual women biggest oppressors ","non-sexist"
" take negativity elsewhere reason hate pictures seriously mad get likes pull bitches ","non-sexist"
" lol got many mode innocent whore ","non-sexist"
" cuz 50 women centric biased laws 0 men better to marry men trending till know tho still better western culture feminism going wrong way may y also ","ideological-inequality"
" peddling white supremacist conspiracy theories george soros obsession dangers feminism clear sovereign nations christian nationalist organization using whitehead perry's definition ","non-sexist"
" cheeky bint hope offensive cheeky git ","non-sexist"
" will feel look say look like prostitute bad will look just open mouth gbagada say look like fuckboy ","objectification"
" hate women toes cause gentle like toddler feet get ","stereotyping-dominance"
" sorry much hate women ","misogyny-non-sexual-violence"
" fairness though allowed girl boy might well ‘funne stuff heading boy scouts lesson scouts need complain set rules demise ","stereotyping-dominance"
" get ass put beers refrigerator goes bed ","non-sexist"
" consider feminist feminism include sex workers intersectional feminism intersectional feminism harms us show red umbrella stop violence sex workers ","ideological-inequality"
" must say sexy hung skinny boy ugly unactractive unsexy girl fuck want change mtf better accept sexy male ","objectification"
" vegan tacos tits ","non-sexist"
" already ‘rona like many people know recently will force us take vaccine need agree though gate history sterilizing women different ","non-sexist"
" life means sensational woman keep line spank ass court way ","non-sexist"
" mean upon time actually men's movement worked tandem women's movement now seem much anything lol sure want anything influenced guided mainstream feminism ","ideological-inequality"
" poor wretched woman car sit even get head rest vex now now ","non-sexist"
" take sexual harassment seriously xpel ","non-sexist"
" wanna see gape skank ","misogyny-non-sexual-violence"
" idk y'all fetishize men going jail shit sexy ","non-sexist"
" imagine conversation bint deary ","non-sexist"
" met heathrow ","non-sexist"
" nope changing topic indication anyone thinking feminism without fault tripping something seriously think think feminism without faults ","non-sexist"
" worst part one people like big common interest assumed mansplaining looking common interest came light bad little bit like full think theyre dude either ahhh ","non-sexist"
" got 100 women showing ass titties tonight clubhouse tune ladies niggas talk y'all unless tipping even sit audience follow halochanel ","objectification"
" think missed point hitchen article women funny think wrong tbf account individual differences often instead losing id pol ","non-sexist"
" highlighting staff's favourite books 2020 starting today first lindsay house cerulean sea tj klune death vivek oji akwaeke emezi upright women wanted sarah gailey ","non-sexist"
" international narcissist day ","ideological-inequality"
" thinks rape bait ","sexual-violence"
" im getting gangbanged freinds way expected also way still appreciate gt c ","non-sexist"
" started tribecka film festival allows people colors backgrounds submit work just white male directors married black woman also ","non-sexist"
" love women so sooo much y'all understand ","non-sexist"
" fuck uou rat bitch hope harry snag süd ur face pavement slutbag fuckhead snake ","misogyny-non-sexual-violence"
" works u far better ugly girl using pretty card let u move pay bills just cause ur sexy ugly chic help pay bills actually like lol ","objectification"
" yeah anything just dropped vernon slag ","stereotyping-dominance"
" called white slag amp white c beat made clear non muslim amp virgin amp dress modestly believed deserved punished said obey beaten ","misogyny-non-sexual-violence"
" say like 16 bio though im hoping grow hating women ","non-sexist"
" herbert 30 passing attempts 181 yards tells coaches idea short passing attempts also explain move ball also help lynn amp steichen want keep ground pound run game even lose 4 yards ","non-sexist"
" aww truth hurt poor fragile feminazi ego ","ideological-inequality"
" whiskey kill know willi go barroomand drink friendswhere women followand see spendgod bless pretty womeni wish minetheir breath sweetthe dew vine ","non-sexist"
" skank ","misogyny-non-sexual-violence"
" listen cardi make western look call girls like sex whore ","stereotyping-dominance"
" fic getting gangbanged slimes ","non-sexist"
" sex women feels anything like put q tips ears even blame y'all hoes ","objectification"
" dear continue appreciate ur husband never anoda best husband like cause able put smile face cook today least grateful god almighty life alone listen fault finders mouth let use ","non-sexist"
" prude anything adults enjoy fantasy widespread adversarial dynamic mainstream worries seems men always tricking women sex exploiting women wrong two hot people make feel good ","sexual-violence"
" women spend twenties riding cock carousel return christ pretend like whores lmfao ","misogyny-non-sexual-violence"
" 15 smoking big ass joints bikers getting gangbanged mood ","non-sexist"
" new raccoon print dress modcloth arrived today glorious said look like crazy lady ","non-sexist"
" ive sexualized ever since like 10 ive always bigger thighs amp hips grown women learned hate thighs amp day im insecure ","objectification"
" homer driving drunk collided woman singer ","non-sexist"
" cock block pandemic needs just get rko'd already ","non-sexist"
" asked lana new character women kill rita castillo told wait see outfits hair styles said look nails ","non-sexist"
" miley cyrus daring ever graphic tee sheer tights via nothing daring naked skank ass aka wrecking ball just ole ho ","objectification"
" pre dating sho finally finds ask sero finally fuck w sero awake time ravenette falls apart pretty afterwards like hurt like thought cuz u b4 bby ","non-sexist"
" women y'all move money alone broke lazy gotta say y'all flash money attract money hungry lazy ass women wow shocker ","objectification"
" guy actually knowing guys going like bunnies recently now remaining friends may call sexist think part play maybe stop seeing masses dude la everything's new precarious now ","non-sexist"
" secondary sex characteristics usually accurately used human eye quickly distinguish men amp women visual cues foolproof amp define sex example caster semenya intersex woman looks male actually female ","non-sexist"
" woman sweetheart cant yall like ","non-sexist"
" cock tease gets ","sexual-violence"
" look like bitch ","sexual-violence"
" fuck like slut 1 2 ","sexual-violence"
" slut shaming ","misogyny-non-sexual-violence"
" interestingly good part women abortion anti choice meaning opposed women choice ","non-sexist"
" hold high degree pedestal just decide change body plus size bodies matter period woman person losing weight take away fact ","non-sexist"
" need man find one ","non-sexist"
" well yeah ofcourse cook husband ","stereotyping-dominance"
" cousin literally just chewing gum iraq dad says spit look like whore asking guy forget daughter like respect wtf ","objectification"
" game journalists already caniption success cyberpunk 2077 game even fully yet less three days away live us timezones already media accusing buyers bringing back journos ","non-sexist"
" man hate bitches point invalid bc cant even address women correct way smh ","misogyny-non-sexual-violence"
" woman cast away profiting bodies condemned give away free recently human history ","objectification"
" americans believe taxes give us right know state communities back life changing information needs public repressed ","non-sexist"
" misses point look irrelevant ability talent saturday radio show write book one's arguing looks still shallow part presenting entirely misunderstand think affects men equally ","ideological-inequality"
" hate straight swiss men nothing treat like shit 4 hours slut shame worst silvester party ever ","objectification"
" sexy bint ","misogyny-non-sexual-violence"
" whimper dom slammed like like fucked like dumb fucking whore huh dom snarled sub nothing look away even stopped dom's firm hand look ","sexual-violence"
" go ratio bitches abortnite player ","misogyny-non-sexual-violence"
" question answer bloody obviously surreal even need discussion yet given gifted men claiming women women amp girl expense issue needs publicising male female boxing next ","ideological-inequality"
" yt women posted pic black white pinkies interlinked w caption understand never understand however stand ","non-sexist"
" amp 7 kid's 5 different dad's love slag ","stereotyping-dominance"
" fucking gangbanged seriously thing people actually meet swear god reserved pornography ","non-sexist"
" ec ed helps children thrive especially vulnerable educators underpaid women cost childcare barrier entering staying workforce particularly women exacerbating gender wage gap investments ec ed great roi ","non-sexist"
" go meeting jersey blazer portland trailblazer need plug bitch im managergonna adopt pussy likes orphan ur nigga lame look like extra oprah got niggas moving dope living just shoot 3 call kyrie irving ","sexual-violence"
" also allowed major tax cuts wealthiest people amp corporations living poverty line entire adult life still love see fuck heads budget 0 like raised son single mom way need fucking break ","non-sexist"
" double numbers justin trudeau beach getaway gold digger sophie content stay freezing canada will billionaire island costa rica 10 000 exclusive pic 20 000 video real — start hunting ","stereotyping-dominance"
" white ass snow possum dog fucking bitch dare pathetic ass lifetime call friend ugly like look like bootleg sam smith ","misogyny-non-sexual-violence"
" bitch way back talking shit come front someone get good look you talk like online tough shit ","misogyny-non-sexual-violence"
" just ludicrous expect past certain age favorite obsession cock carousel just buddy exactly want bone god knows many women marry someone nice lot us want ","sexual-violence"
" police cruiser stolen wrecked southwestern michigan 25 year old woman slipped handcuffs arrested earlier drunken driving ","non-sexist"
" tell age indiana law besides ladies 40 still get job come girl ","non-sexist"
" believe people still faith men lmfao like y'all know niggas now ","non-sexist"
" disappointed never worked trust employer given access celf standardised ax man feel left need cake ","non-sexist"
" 1 50 mystery providence vintage puritan john flavel ","non-sexist"
" pina colada song funny like imagine go night cheating wife woman met news paper ad boom wife put ad cheat ","non-sexist"
" really dont look model getting fat hair untidy look used almost like prostitute give find new career ","objectification"
" lying march little known covid people used think earth flat women responsible determining sex offspring tell us long term effects will 5 years recovering covid lying grifter ","non-sexist"
" fact's filtered snapped picturemy man jack ripped google like jack ripperyoohoo finna murder brunette bitchget pumped like flat fixed become flat fixturea rap figure look like hacked twitteri'll show beastie boy ","sexual-violence"
" stop white woman spank you turn like tomato ","misogyny-non-sexual-violence"
" gay oh expect women ‘gratefu offered sex men want sex grateful offer know like never tried ungrateful hypocritical ","sexual-violence"
" nazi mention maybe stop saying feminazi lol dumb term mention used imply feminists oppressing men genuinely advocated male genocide ppl take feminist movement seriously ","ideological-inequality"
" something familiar slapper ","non-sexist"
" nicer friends especially made 2020 soosososoososo much better ily muchand just anyone whos ever interacted thankyou nice never met community nice lastly gc ily bitches much ","non-sexist"
" old chastity slut 67 loves denied tease toys ball slapping smothered amp stroked cock fed lots cum ","sexual-violence"
" always thought just jimmy o yang like everyone first time watching questioned fuck ben schwartz want work show ","non-sexist"
" wow biology lesson asset manager prime mansplaining ","stereotyping-dominance"
" women spank guys everytime pass infront ","non-sexist"
" o prophet tell thy wives daughters believing women cast outer garments persons abroad convenient known molested allah oft forgiving merciful ","ideological-inequality"
" fresh comp flw fav retweet amp win thomas sabo bint tastic regional truncheon mummification mcr ","non-sexist"
" expect people agree money prostitute said 50 head just look gonna thank actually give head gonna thank em fucks like job ","sexual-violence"
" wonder people know slag wars think new display name ","non-sexist"
" says never babe lol still whore just wrong number front lmaoo ","misogyny-non-sexual-violence"
" interesting see many people blame senate post passing heroes act senate pass even larger bills one house refused mean really try hard pretend senate's fault ","non-sexist"
" car customiser given 24 hours wrap multi million pound car result chrome bluegatti skrrt ","non-sexist"
" holy shit u look beautiful billiieee netflix broadcast ","non-sexist"
" nor women go fit err herr know ","non-sexist"
" woman try explain without using biologyb behaviors asoviated women sexist stereotypes go ahead make day x ","ideological-inequality"
" spellblade gave chuckle woman's words fun use magic made things easy although getting feeling almost wanted easy careful wish said grab throat rough hard ","non-sexist"
" recall sharpton fighting hillary clinton seem matter anyone 2016 ","ideological-inequality"
" reminds time walked in husband fucking dog decided go make snack remembered grandmothers wise words cook husband worthless peice shit ","stereotyping-dominance"
" hoo boy manspreading hard desk chair think ","stereotyping-dominance"
" man peanut brains making assumptions family right calling prostitute despite knowing look like reserve apology daughter since made known okay call woman prostitute disagree ","stereotyping-dominance"
" seriously kind reasoning makes go cross eyed ","non-sexist"
" lrt squirt air eye bitch stop im scared ","non-sexist"
" men's women's basketball teams losses score column today moral victories college athletics teams right thick things last possession ","non-sexist"
" thanks girl days better others always going hard little family ","non-sexist"
" think single one despised prove just equal men succeed far beyond men field earn respect woman exhausting y'all ","stereotyping-dominance"
" know covid19 damage fertility men need time see effects women just test sperm count take chances vaccine certainty virus day high risk ","non-sexist"
" stereotype triggered sjw feminazi even come anyway nobody history earth ever said ree triggered just assume gender unironically think go outside talk real people please right now know ","ideological-inequality"
" bc called hypocrisy suddenly sexist call pick sexist devalue work ethic sexworkers jokes write ","ideological-inequality"
" mesh panel cut lace sneakers via ","non-sexist"
" apparently still isolate track trace wear mask quarantine sounds delightful oh make women sterile kill people allergic reactions idea longer term sign ","non-sexist"
" apart life niggas ain't shit really simple tell women pick better men still fix aint shit men walking around held accountable ","non-sexist"
" whoever johnsy's discord messaging w jbenn slutbag ","non-sexist"
" pretty sure gangbang involves multiple people unless raped indicative really value sex something special occur committed partners sounds like girl done riding cock carousel ready settle ","sexual-violence"
" bit like feminism feminist lot macho idiots seize term thinking somehow anti men called equalism something start ","ideological-inequality"
" nice tits x ","objectification"
" know miss world finally comes senses accepts benevolent enlightened feminazi dictatorship men sliding dms ","non-sexist"
" call literally every single inconvenience homophobic friends teasing call homophobic sexist ‘mea woman also gay ","non-sexist"
" called andrew nonse corrected sorry like made look cunt public facts facts son ","non-sexist"
" hate men get women's business want sell nudes fake lv bag going feet pics hard make good money ","non-sexist"
" sorry got tricked lie one will always follow measure even compliant will always slips blame scapegoating allow perpetual abuse fund healthcare adequate capacity require fallback austerity measures masks lockdowns ","non-sexist"
" short skirt ","objectification"
" shambhavi anand knowingly broke abortion law 20wks twice 6 amp 7mnths criminal offense aborted 7mnths alive girl child fled 2 2 future business leader ","non-sexist"
" ‘wome ‘vagina owner teen vogue's publication ‘masturbation guid mocked source russia today ","non-sexist"
" correct human history amp sociobiology happy lose followers gain ","non-sexist"
" woman already poor access nutrition welfare suddenly become empowered upon turning 18 21 things drop sky mary john ","non-sexist"
" great little slutbag ","misogyny-non-sexual-violence"
" said feminists call sexist sexist say men like fucking sexist ","ideological-inequality"
" another movie clip sold via pvc gloves amp big red lips tease wank amp lick cock ","sexual-violence"
" dark haired milf sodomize 77112 ","sexual-violence"
" restrictions female entrepreneurship participation time ","non-sexist"
" one favourite things working class england maybe working class uk general idk fact obscenities spray painted written absolutely everything imaginable like just look street lamp ‘you're cun will written ","non-sexist"
" loool look trashy slut katara guess cant made dress like trashy whore she loved well looks pretty good blurring ever get see ","objectification"
" make eat cum thank slutbag ","sexual-violence"
" yes course bastard gender neutral dick prick masculine insults weight cunt know surprised words racist misognyy misandry point language things meaning ","non-sexist"
" great know women like want ","non-sexist"
" chill bro pound metal heavier pound feathers ","non-sexist"
" stands rest fat sack onto face letting see sweat work fucking got slowly drags shaft look much cum you whore now just smears face feels like whore ","sexual-violence"
" men involved decision yes maybe father taught importance modest decision seems like reached age makes decisions feminism ridiculous equality want men ","ideological-inequality"
" need mention gender motorist think strange tweet put ad rescue stranded male motorist deep mu ","stereotyping-dominance"
" quite comments thread saying generalize — instead denouncing unnecessary aggression just gonna say 9 10 times encountered aggressive behaviour drivers bike man yeah mostly men ","non-sexist"
" sexual tension urge kick privileged cishet men invalidate women struggles victimize putting blame feminists ofcourse feminism cancer ","ideological-inequality"
" india's national security advisor ajit doval took twitter handle monday congratulated ponung doming saying now real empowered daring woman power ","non-sexist"
" shit really funny lil bro just lied straight face lamest shit seen twitter min bro honestly know people like shit talk look mass following bitch like bro point just deactivate ","non-sexist"
" maybe rudy giuliani cock block mob america still exist ","non-sexist"
" lmfaooo seen bud look like rapist bruh twitter think care think weirdo foh go text hoes clown bitch ","misogyny-non-sexual-violence"
" now playing nella dodds love anymore soul boppi ladies ","non-sexist"
" lend voice fight human rights ","non-sexist"
" every day many people getting consoles trying hard get love love community built continue build everyone helping beautiful thing remember everyone day coming love ","non-sexist"
" men well chain broke pipe came crashing drilling floor terry got crushed railing poor bastard women wow just wow 3rd triple venti today make hair's cute enjoy holiday guess ","stereotyping-dominance"
" 1 head water2 birdie3 souvernir4 crush5 love insane6 bigger wow7 me8 tell over9 goddess10 warrior11 dumb blonde12 fell love devil ","non-sexist"
" just fake disgraceful pathetic trump dumb blonde ","stereotyping-dominance"
" hate good gift giving got coolest present couple weeks ago everything thoughtfuli found funniest comment though days ago go find ","non-sexist"
" y'all letting women talk kind way punishment yikes choke mines bend mild spank ","misogyny-non-sexual-violence"
" cause call man pretty think pretty men called pretty feminine opinion actually offensive please say honestly see ","non-sexist"
" uh uh— k—koo oh my— koo's comi comi hand harshly cups crotch hoping block little cock coming obviously useless koo take anymore abandons pleasure ","non-sexist"
" hope ole told ref fuck right bald cunt ","misogyny-non-sexual-violence"
" likewise intersectional feminism harm reduction etc get lumped neoliberal misguided aspiring leftists allies neoliberal context just gets easy jump scare leftists—aaand cuz 90 leftists actually know neoliberalism ","ideological-inequality"
" toxic mansplaining way go shithead ","stereotyping-dominance"
" used angered everyone said learn cook husband others refused learn cooking long time realized wanna learn never starv will never depend need ","stereotyping-dominance"
" hvnt talk brother long ass time amp first thing messaged netflix account ahahaha knows imma need lmaooo ","non-sexist"
" know behind window 24 signed photo ladies bella vladlena keita random girls pink side bet city girls stream fudging lucky people merry xmas ","non-sexist"
" watches amazement seokjin hoseok undress slowly eyes now glued hoseok likes tease jimin says one particular voice brings yoongi back yoongi takes deep breath sits jimin's cock sheathing ","non-sexist"
" say need man enough times start believe 45 years old realize lying want acknowledge fact faults needed improvement ","stereotyping-dominance"
" dawg makes female nephew look like whore heard got fight dog damn ","objectification"
" bitches want nigga ","misogyny-non-sexual-violence"
" look like east side whore lmfaoo ","objectification"
" call sexist magic raindeer fly antlers fall christmas matter gender seriously people lost minds ","non-sexist"
" sammy club now drink booze fun ladies max bros know good around women sammy relax need hold urself besides definitely find one club worry ","objectification"
" pregnant ","non-sexist"
" y'all fire folks reporting sexual harassment bye ","non-sexist"
" fact trending democrats definitely stand fact beautiful extremely disturbing even men commenting woman's looks okay beautiful amp intelligent damn near 2021 ","objectification"
" hypocrisy around stereotyping particularly galling quick call people racist sexist etc yet horrible vile attacking work people ","non-sexist"
" just term used days sincerely doubt biden advocate coercive redistributive measures needed achieve anything resembling equality outcome races ","non-sexist"
" one blaming virus blame telling woodward 2 7 horrible lying us giving 17 8 tons ppe china first week feb doctors nurses wear garbage bags promoting masks distancing ","non-sexist"
" nvm beck's slag ","non-sexist"
" men strike book dr helen smith spells simply even closed minded people get also offers solutions marriage strike call john mgtow galt ","ideological-inequality"
" well make men dressing women kill women public restrooms trans people problem ","misogyny-non-sexual-violence"
" friends who'd make fun fat hs fuck ","non-sexist"
" ever see someone aggressively attractive social media know handle ","non-sexist"
" just heads constant playing victim card clearly troll looking people attack getting tiresome please find another positive roll play brandish victim american christians stop think bye ","non-sexist"
" lol really need smash room man ","non-sexist"
" everything will fine luck ranking 2021 got vaccine lined going unemployment going fun trip soon im going start rearranging plans year u will fine dumb little blonde idiot ","objectification"
" anti feminist see many self proclaimed feminists ","ideological-inequality"
" deuteronomy 20 10 14 lord god hands kill every man town may keep women children livestock plunder may enjoy spoils enemies lord god given ","non-sexist"
" sure makes sense live world question quite lot whether film featuring men women dressed super powered wrestlers fighting crime appropriate viewing children surely often ","non-sexist"
" calling someone frigid polite way sayin u bitch ","objectification"
" marilyn monroe quite defiant hated whole dumb blonde eye candy persona forced portray time afraid prove people wrong son chaeyoung exact way petite headstrong young woman defies norms ","stereotyping-dominance"
" answer woman loves man amp confused conversation except ur trying whip timeline love good men ask cookies abt sm ","non-sexist"
" poor girl hope u idiots proud ","non-sexist"
" thinking ","non-sexist"
" faaax shit time unacceptable suppose accept men boundaries just paying no asking payin pay no drop kid ","stereotyping-dominance"
" fham called whore someone know truly hits horribly cause really look like whore even know think whore like ik let others opinions affect sometimes just affect ","objectification"
" dayhun repressed ","non-sexist"
" everyone loves cushty job will go length protect said cushtiness ","non-sexist"
" demonize us liking finding attractive really got called evil bully agsfdgfhghfjfkhl ","non-sexist"
" pending surviving member certificate smc 21 days pls help ","non-sexist"
" think know skank stupid naughty word convinced ","misogyny-non-sexual-violence"
" rescued many cats abused frightened amp badly hurt people hurt animals need strung grew believing willing hit animal compunction hitting women amp kids ","non-sexist"
" love retweeting shit like talking shit men good man dishes ","non-sexist"
" call little beautiful fluffy cat need going purrfect home family ","non-sexist"
" punchline classic white feminism joke listener joke sexist actually problematic assumes cisheteronormativity fails recognize recent advances reproductive science essay will ","ideological-inequality"
" saw one call cock carousel surprisingly go statistical analysis hook site find women want hook ups ","objectification"
" need take ownership many still supported tony lopez men like many us harassed need support period stop now ","non-sexist"
" cover smell sodomy make wanna sodomize ","non-sexist"
" goats gullible just taken military operations even wearing stupid uniforms battle amp taking regions around shut graze fields sodomize goat family amp let us take lands ","non-sexist"
" one's saying people working fb malicious cost hiring people takedown proportionately less damage inflicted women intimate moments maliciously exposed online legislature assign damage fb ","sexual-violence"
" cock carousel ","sexual-violence"
" yh understand weekly discussion looking now week varying topics hopefully speakers need women discuss women issues ","non-sexist"
" shout women eat cute bc ","non-sexist"
" ross ultimate beta cuck prime taking rachel done riding cock carousel lobster yea f ass ever think think ross dont ","sexual-violence"
" undisputed bad ass ","non-sexist"
" bitches always want start get started now imma bully left ass alone ","non-sexist"
" wow prostitute speaks just saying since look like prostitute considered going back ged sound like idiot ","objectification"
" animal neon trees way ahead time absolute slapper ","non-sexist"
" clarify anything add discussion develop way derail dismiss lived experiences women girls ","ideological-inequality"
